imdb_id,tmdb_id,title,logline,no_seasons,no_episodes,runtime_per_episode,runtime,imdb_rating,content_type,meta_score,rt_rating,trailer_link,image_link,discovery_mode,in_set,primary_mode,topic_one,on_netflix,on_hbo,on_amazon_prime,on_hulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2245988,43899,The Bible,The story of God's creation of the Earth and the landmark events leading up to the Crucifixion of Jesus Christ.,1,5,120,600,7.5,Series,,,,https://image.tmdb.org/t/p/w700_and_h392_bestv2//uxZeG3kIOpiBNulhrEYF4hNeC4k.jpg,,1,Get informed / learn something,History / War,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1806234,32062,Human Planet,This series describes the human species and its relationship with the natural world by showing the remarkable ways humans have adapted to life in every environment on Earth.,1,9,60,540,9.1,Series,,,,https://image.tmdb.org/t/p/w700_and_h392_bestv2//rUyzpLrFFqaEJ7V2lhDCNdFB1op.jpg,,1,Relax and unwind,Science & Nature,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5863126,67027,Last Chance U,"In a docuseries set at one of NCAA football's most fertile recruiting grounds, guys with red flags seek to prove their worth on the field and in class.",2,6,,,8.5,Series,,,https://youtu.be/rFzvBYFrhOc,https://image.tmdb.org/t/p/w700_and_h392_bestv2//tkuO4GUY7Or0dydW6LHMC3sMNyz.jpg,,1,Broaden your perspective,Sports,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1934673,62168,Homicide Hunter: Lt Joe Kenda,"A non-fiction investigative series of murder cases told through the personal experience of retired detective, Lieutenant Joe Kenda.",6,80,43,3440,8.9,Series,,,,https://image.tmdb.org/t/p/w700_and_h392_bestv2//smKXKrMNIoqyaknPoXkgunYXUyL.jpg,,1,Explore the mystery,Crime,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
